,date,variable,value
140,2019-12-29,best start foods,20
141,2020-01-05,best start foods,8
142,2020-01-12,best start foods,13
143,2020-01-19,best start foods,8
144,2020-01-26,best start foods,8
145,2020-02-02,best start foods,11
146,2020-02-09,best start foods,8
147,2020-02-16,best start foods,20
148,2020-02-23,best start foods,12
149,2020-03-01,best start foods,8
150,2019-03-24,best home cook georgia,0
151,2019-03-31,best home cook georgia,0
152,2019-04-07,best home cook georgia,0
153,2019-04-14,best home cook georgia,0
154,2019-04-21,best home cook georgia,0
155,2019-04-28,best home cook georgia,0
156,2019-05-05,best home cook georgia,0
157,2019-05-12,best home cook georgia,0
158,2019-05-19,best home cook georgia,0
159,2019-05-26,best home cook georgia,0
160,2019-06-02,best home cook georgia,0
161,2019-06-09,best home cook georgia,0
162,2019-06-16,best home cook georgia,0
163,2019-06-23,best home cook georgia,0
164,2019-06-30,best home cook georgia,0
165,2019-07-07,best home cook georgia,0
166,2019-07-14,best home cook georgia,0
167,2019-07-21,best home cook georgia,0
168,2019-07-28,best home cook georgia,0
169,2019-08-04,best home cook georgia,0
170,2019-08-11,best home cook georgia,0
171,2019-08-18,best home cook georgia,0
172,2019-08-25,best home cook georgia,0
173,2019-09-01,best home cook georgia,0
174,2019-09-08,best home cook georgia,0
175,2019-09-15,best home cook georgia,0
176,2019-09-22,best home cook georgia,0
177,2019-09-29,best home cook georgia,0
178,2019-10-06,best home cook georgia,0
179,2019-10-13,best home cook georgia,0
180,2019-10-20,best home cook georgia,0
181,2019-10-27,best home cook georgia,0
182,2019-11-03,best home cook georgia,0
183,2019-11-10,best home cook georgia,0
184,2019-11-17,best home cook georgia,0
185,2019-11-24,best home cook georgia,0
186,2019-12-01,best home cook georgia,0
187,2019-12-08,best home cook georgia,0
188,2019-12-15,best home cook georgia,0
189,2019-12-22,best home cook georgia,0
190,2019-12-29,best home cook georgia,76
191,2020-01-05,best home cook georgia,67
192,2020-01-12,best home cook georgia,45
193,2020-01-19,best home cook georgia,31
194,2020-01-26,best home cook georgia,40
195,2020-02-02,best home cook georgia,44
196,2020-02-09,best home cook georgia,36
197,2020-02-16,best home cook georgia,100
198,2020-02-23,best home cook georgia,21
199,2020-03-01,best home cook georgia,18
200,2019-03-24,best burger near me,0
201,2019-03-31,best burger near me,0
202,2019-04-07,best burger near me,0
203,2019-04-14,best burger near me,0
204,2019-04-21,best burger near me,0
205,2019-04-28,best burger near me,0
206,2019-05-05,best burger near me,0
207,2019-05-12,best burger near me,0
208,2019-05-19,best burger near me,0
209,2019-05-26,best burger near me,0
210,2019-06-02,best burger near me,0
211,2019-06-09,best burger near me,0
212,2019-06-16,best burger near me,0
213,2019-06-23,best burger near me,0
214,2019-06-30,best burger near me,2
215,2019-07-07,best burger near me,9
216,2019-07-14,best burger near me,10
217,2019-07-21,best burger near me,11
218,2019-07-28,best burger near me,100
219,2019-08-04,best burger near me,36
220,2019-08-11,best burger near me,3
221,2019-08-18,best burger near me,5
222,2019-08-25,best burger near me,8
223,2019-09-01,best burger near me,70
224,2019-09-08,best burger near me,79
225,2019-09-15,best burger near me,38
226,2019-09-22,best burger near me,18
227,2019-09-29,best burger near me,3
228,2019-10-06,best burger near me,0
229,2019-10-13,best burger near me,0
230,2019-10-20,best burger near me,1
231,2019-10-27,best burger near me,0
232,2019-11-03,best burger near me,1
233,2019-11-10,best burger near me,0
234,2019-11-17,best burger near me,0
235,2019-11-24,best burger near me,0
236,2019-12-01,best burger near me,0
237,2019-12-08,best burger near me,1
238,2019-12-15,best burger near me,1
239,2019-12-22,best burger near me,0
240,2019-12-29,best burger near me,1
241,2020-01-05,best burger near me,0
242,2020-01-12,best burger near me,0
243,2020-01-19,best burger near me,0
244,2020-01-26,best burger near me,0
245,2020-02-02,best burger near me,1
246,2020-02-09,best burger near me,0
247,2020-02-16,best burger near me,1
248,2020-02-23,best burger near me,1
249,2020-03-01,best burger near me,0
250,2019-03-24,best mince pies 2019,0
251,2019-03-31,best mince pies 2019,0
252,2019-04-07,best mince pies 2019,0
