,date,variable,value
146,2020-02-16,best burger near me,0
147,2020-02-23,best burger near me,1
148,2020-03-01,best burger near me,0
149,2020-03-08,best burger near me,0
150,2019-03-31,best mince pies 2019,0
151,2019-04-07,best mince pies 2019,0
152,2019-04-14,best mince pies 2019,0
153,2019-04-21,best mince pies 2019,0
154,2019-04-28,best mince pies 2019,0
155,2019-05-05,best mince pies 2019,0
156,2019-05-12,best mince pies 2019,0
157,2019-05-19,best mince pies 2019,0
158,2019-05-26,best mince pies 2019,0
159,2019-06-02,best mince pies 2019,0
160,2019-06-09,best mince pies 2019,0
161,2019-06-16,best mince pies 2019,0
162,2019-06-23,best mince pies 2019,0
163,2019-06-30,best mince pies 2019,0
164,2019-07-07,best mince pies 2019,4
165,2019-07-14,best mince pies 2019,0
166,2019-07-21,best mince pies 2019,0
167,2019-07-28,best mince pies 2019,0
168,2019-08-04,best mince pies 2019,0
169,2019-08-11,best mince pies 2019,0
170,2019-08-18,best mince pies 2019,0
171,2019-08-25,best mince pies 2019,0
172,2019-09-01,best mince pies 2019,0
173,2019-09-08,best mince pies 2019,0
174,2019-09-15,best mince pies 2019,0
175,2019-09-22,best mince pies 2019,0
176,2019-09-29,best mince pies 2019,4
177,2019-10-06,best mince pies 2019,4
178,2019-10-13,best mince pies 2019,11
179,2019-10-20,best mince pies 2019,14
180,2019-10-27,best mince pies 2019,18
181,2019-11-03,best mince pies 2019,17
182,2019-11-10,best mince pies 2019,31
183,2019-11-17,best mince pies 2019,70
184,2019-11-24,best mince pies 2019,68
185,2019-12-01,best mince pies 2019,97
186,2019-12-08,best mince pies 2019,100
187,2019-12-15,best mince pies 2019,71
188,2019-12-22,best mince pies 2019,33
189,2019-12-29,best mince pies 2019,4
190,2020-01-05,best mince pies 2019,0
191,2020-01-12,best mince pies 2019,0
192,2020-01-19,best mince pies 2019,0
193,2020-01-26,best mince pies 2019,0
194,2020-02-02,best mince pies 2019,0
195,2020-02-09,best mince pies 2019,0
196,2020-02-16,best mince pies 2019,0
197,2020-02-23,best mince pies 2019,0
198,2020-03-01,best mince pies 2019,0
199,2020-03-08,best mince pies 2019,0
200,2019-03-31,best mince pies 2019 guardian,0
201,2019-04-07,best mince pies 2019 guardian,0
202,2019-04-14,best mince pies 2019 guardian,0
203,2019-04-21,best mince pies 2019 guardian,0
204,2019-04-28,best mince pies 2019 guardian,0
205,2019-05-05,best mince pies 2019 guardian,0
206,2019-05-12,best mince pies 2019 guardian,0
207,2019-05-19,best mince pies 2019 guardian,0
208,2019-05-26,best mince pies 2019 guardian,0
209,2019-06-02,best mince pies 2019 guardian,0
210,2019-06-09,best mince pies 2019 guardian,0
211,2019-06-16,best mince pies 2019 guardian,0
212,2019-06-23,best mince pies 2019 guardian,0
213,2019-06-30,best mince pies 2019 guardian,0
214,2019-07-07,best mince pies 2019 guardian,0
215,2019-07-14,best mince pies 2019 guardian,0
216,2019-07-21,best mince pies 2019 guardian,0
217,2019-07-28,best mince pies 2019 guardian,0
218,2019-08-04,best mince pies 2019 guardian,0
219,2019-08-11,best mince pies 2019 guardian,0
220,2019-08-18,best mince pies 2019 guardian,0
221,2019-08-25,best mince pies 2019 guardian,0
222,2019-09-01,best mince pies 2019 guardian,0
223,2019-09-08,best mince pies 2019 guardian,0
224,2019-09-15,best mince pies 2019 guardian,0
225,2019-09-22,best mince pies 2019 guardian,0
226,2019-09-29,best mince pies 2019 guardian,0
227,2019-10-06,best mince pies 2019 guardian,0
228,2019-10-13,best mince pies 2019 guardian,0
229,2019-10-20,best mince pies 2019 guardian,0
230,2019-10-27,best mince pies 2019 guardian,0
231,2019-11-03,best mince pies 2019 guardian,0
232,2019-11-10,best mince pies 2019 guardian,0
233,2019-11-17,best mince pies 2019 guardian,22
234,2019-11-24,best mince pies 2019 guardian,0
235,2019-12-01,best mince pies 2019 guardian,22
236,2019-12-08,best mince pies 2019 guardian,55
237,2019-12-15,best mince pies 2019 guardian,100
238,2019-12-22,best mince pies 2019 guardian,25
239,2019-12-29,best mince pies 2019 guardian,0
240,2020-01-05,best mince pies 2019 guardian,0
241,2020-01-12,best mince pies 2019 guardian,0
242,2020-01-19,best mince pies 2019 guardian,0
243,2020-01-26,best mince pies 2019 guardian,0
244,2020-02-02,best mince pies 2019 guardian,0
245,2020-02-09,best mince pies 2019 guardian,0
246,2020-02-16,best mince pies 2019 guardian,0
247,2020-02-23,best mince pies 2019 guardian,0
248,2020-03-01,best mince pies 2019 guardian,0
249,2020-03-08,best mince pies 2019 guardian,0
250,2019-03-31,best gin 2019,0
251,2019-04-07,best gin 2019,42
252,2019-04-14,best gin 2019,7
253,2019-04-21,best gin 2019,14
254,2019-04-28,best gin 2019,7
255,2019-05-05,best gin 2019,7
256,2019-05-12,best gin 2019,11
257,2019-05-19,best gin 2019,10
258,2019-05-26,best gin 2019,11
259,2019-06-02,best gin 2019,26
260,2019-06-09,best gin 2019,11
261,2019-06-16,best gin 2019,14
262,2019-06-23,best gin 2019,25
263,2019-06-30,best gin 2019,14
264,2019-07-07,best gin 2019,14
265,2019-07-14,best gin 2019,10
266,2019-07-21,best gin 2019,26
267,2019-07-28,best gin 2019,10
268,2019-08-04,best gin 2019,23
269,2019-08-11,best gin 2019,18
270,2019-08-18,best gin 2019,24
271,2019-08-25,best gin 2019,9
272,2019-09-01,best gin 2019,33
273,2019-09-08,best gin 2019,7
274,2019-09-15,best gin 2019,17
275,2019-09-22,best gin 2019,22
276,2019-09-29,best gin 2019,10
277,2019-10-06,best gin 2019,11
278,2019-10-13,best gin 2019,17
279,2019-10-20,best gin 2019,11
280,2019-10-27,best gin 2019,17
281,2019-11-03,best gin 2019,26
282,2019-11-10,best gin 2019,19
283,2019-11-17,best gin 2019,35
284,2019-11-24,best gin 2019,37
285,2019-12-01,best gin 2019,55
286,2019-12-08,best gin 2019,48
287,2019-12-15,best gin 2019,100
288,2019-12-22,best gin 2019,40
289,2019-12-29,best gin 2019,13
290,2020-01-05,best gin 2019,14
291,2020-01-12,best gin 2019,0
292,2020-01-19,best gin 2019,14
293,2020-01-26,best gin 2019,12
294,2020-02-02,best gin 2019,15
295,2020-02-09,best gin 2019,9
296,2020-02-16,best gin 2019,12
297,2020-02-23,best gin 2019,6
298,2020-03-01,best gin 2019,8
299,2020-03-08,best gin 2019,11
300,2019-03-31,best start foods,0
301,2019-04-07,best start foods,0
302,2019-04-14,best start foods,12
303,2019-04-21,best start foods,0
304,2019-04-28,best start foods,0
305,2019-05-05,best start foods,0
306,2019-05-12,best start foods,0
307,2019-05-19,best start foods,0
308,2019-05-26,best start foods,0
309,2019-06-02,best start foods,0
310,2019-06-09,best start foods,0
311,2019-06-16,best start foods,0
312,2019-06-23,best start foods,11
313,2019-06-30,best start foods,0
314,2019-07-07,best start foods,11
315,2019-07-14,best start foods,0
316,2019-07-21,best start foods,11
317,2019-07-28,best start foods,0
318,2019-08-04,best start foods,0
319,2019-08-11,best start foods,22
320,2019-08-18,best start foods,0
321,2019-08-25,best start foods,11
322,2019-09-01,best start foods,22
323,2019-09-08,best start foods,11
324,2019-09-15,best start foods,18
325,2019-09-22,best start foods,21
326,2019-09-29,best start foods,21
327,2019-10-06,best start foods,21
328,2019-10-13,best start foods,10
329,2019-10-20,best start foods,0
330,2019-10-27,best start foods,10
331,2019-11-03,best start foods,100
332,2019-11-10,best start foods,74
333,2019-11-17,best start foods,30
334,2019-11-24,best start foods,19
335,2019-12-01,best start foods,15
336,2019-12-08,best start foods,26
337,2019-12-15,best start foods,11
338,2019-12-22,best start foods,35
339,2019-12-29,best start foods,24
340,2020-01-05,best start foods,26
341,2020-01-12,best start foods,14
342,2020-01-19,best start foods,20
343,2020-01-26,best start foods,10
344,2020-02-02,best start foods,13
345,2020-02-09,best start foods,38
346,2020-02-16,best start foods,32
347,2020-02-23,best start foods,13
348,2020-03-01,best start foods,19
349,2020-03-08,best start foods,32
350,2019-03-31,best christmas pudding 2019,0
351,2019-04-07,best christmas pudding 2019,0
352,2019-04-14,best christmas pudding 2019,0
353,2019-04-21,best christmas pudding 2019,0
354,2019-04-28,best christmas pudding 2019,0
355,2019-05-05,best christmas pudding 2019,0
356,2019-05-12,best christmas pudding 2019,0
357,2019-05-19,best christmas pudding 2019,0
358,2019-05-26,best christmas pudding 2019,0
359,2019-06-02,best christmas pudding 2019,0
360,2019-06-09,best christmas pudding 2019,0
361,2019-06-16,best christmas pudding 2019,0
362,2019-06-23,best christmas pudding 2019,0
363,2019-06-30,best christmas pudding 2019,0
364,2019-07-07,best christmas pudding 2019,0
365,2019-07-14,best christmas pudding 2019,0
366,2019-07-21,best christmas pudding 2019,0
367,2019-07-28,best christmas pudding 2019,0
368,2019-08-04,best christmas pudding 2019,0
369,2019-08-11,best christmas pudding 2019,0
370,2019-08-18,best christmas pudding 2019,0
371,2019-08-25,best christmas pudding 2019,0
372,2019-09-01,best christmas pudding 2019,0
373,2019-09-08,best christmas pudding 2019,6
